"team","team_region","round","fte_prob","seed","crowd_prob","fte_ep","crowd_ep","delta","evoc"
"Texas Tech","Midwest","title",0.00040254,"8",0.011,0.2536002,6.93,-6.6763998,-0.002687517975492
"California","South","title",0.00475534,"4",0.006,2.9958642,3.78,-0.7841358,-0.003728832335172
"Oregon State","West","R4",0.00234177,"7",0.014,0.3512655,2.1,-1.7487345,-0.004095133990065
"Providence","East","NCG",0.00239651,"9",0.012,0.7429181,3.72,-2.9770819,-0.007134606544169
"Texas Tech","Midwest","NCG",0.00119691,"8",0.021,0.3710421,6.51,-6.1389579,-0.007347780100089
"South Dakota St","South","R32",0.20535771,"12",0.209,2.0535771,2.09,-0.0364228999999998,-0.00747972333555896
"Southern California","East","R8",0.00618629,"8",0.025,0.4330403,1.75,-1.3169597,-0.008147094622513
"Stony Brook","East","R16",0.01518218,"13",0.034,0.4554654,1.02,-0.5645346,-0.008570865913428
"Southern California","East","R16",0.02758362,"8",0.045,0.8275086,1.35,-0.5224914,-0.014412204230868
"Texas Tech","Midwest","R4",0.00382012,"8",0.033,0.573018,4.95,-4.376982,-0.01672059647784
"Chattanooga","East","R16",0.01629048,"12",0.057,0.4887144,1.71,-1.2212856,-0.019895328641088
"Xavier","East","title",0.0180339,"2",0.02,11.361357,12.6,-1.238643,-0.0223375639977
"Stony Brook","East","R32",0.07469338,"13",0.111,0.7469338,1.11,-0.3630662,-0.027118641641756
"Oregon State","West","R8",0.00814584,"7",0.059,0.5702088,4.13,-3.5597912,-0.028997489548608
"Providence","East","R4",0.00847699,"9",0.055,1.2715485,8.25,-6.9784515,-0.059156263580985
"Oklahoma","West","R32",0.95858319,"2",0.965,9.5858319,9.65,-0.0641680999999998,-0.0615104619942388
"Texas Tech","Midwest","R8",0.01374853,"8",0.078,0.9623971,5.46,-4.4976029,-0.061835428398737
"Villanova","South","R32",0.96293972,"2",0.971,9.6293972,9.71,-0.0806027999999994,-0.0776156376632154
"Providence","East","R8",0.020679,"9",0.112,1.44753,7.84,-6.39247,-0.13218988713
"Chattanooga","East","R32",0.12316657,"12",0.236,1.2316657,2.36,-1.1283343,-0.138973065544351
"Oregon State","West","R16",0.02682859,"7",0.206,0.8048577,6.18,-5.3751423,-0.144207488958357
"Providence","East","R32",0.62200871,"9",0.647,6.2200871,6.47,-0.2499129,-0.155448000541359
"Miami","South","title",0.01032811,"3",0.036,6.5067093,22.68,-16.1732907,-0.167039525411577
"Providence","East","R16",0.0630388,"9",0.152,1.891164,4.56,-2.668836,-0.1682402188368
